id;name;bank_number;agency_number;last_operation_duration;mean_operation_duration;balance;opening_day;last_operation_date;active;account_type;attachment;attachment_content_type;description
1;monitor;17676;4944;85342;56;7254;2023-08-14;2023-08-14T12:38:33;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;multi-byte Shoes architect;29169;61296;55016;45514;15589;2023-08-14;2023-08-14T02:35:05;true;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;Frozen;21844;4492;23597;37315;35179;2023-08-14;2023-08-14T06:13:33;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;Computers Ethiopian monitor;59149;68885;42865;69202;46583;2023-08-14;2023-08-14T10:30:48;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;Market Functionality;93296;58586;50774;71679;66193;2023-08-14;2023-08-14T19:34:14;true;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;Electronics;76293;40226;11130;10123;82392;2023-08-14;2023-08-14T09:27:51;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;Personal Washington;15199;39876;71246;58535;15303;2023-08-14;2023-08-14T15:21:39;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;Loan;41095;4552;73176;70789;93839;2023-08-14;2023-08-14T18:16:23;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;payment driver withdrawal;94647;96785;10771;64070;2787;2023-08-13;2023-08-14T11:03:40;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;Identity Kenya Tasty;76383;35542;46867;78035;40962;2023-08-14;2023-08-14T07:05:40;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
