id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;sibag_id;gobag_id
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2023-08-14T16:16:31;71697;45464;1;1
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2023-08-14T20:13:23;75289;21024;2;2
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2023-08-14T05:16:47;71090;65309;3;3
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2023-08-14T00:46:24;52820;82484;4;4
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2023-08-14T19:24:18;13439;33970;5;5
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2023-08-14T04:10:30;64329;13556;6;6
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2023-08-14T06:40:38;54588;45928;7;7
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2023-08-14T20:44:02;3244;21747;8;8
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2023-08-14T12:04:41;90189;81327;9;9
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2023-08-14T00:44:51;32637;8639;10;10
